MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1925517,Klhdc8b,kelch domain containing 8B,9,,mitotic nuclear division,,,ISO,Q8IXV7 ,J:164563 
MGI:2143315,Klhl18,kelch-like 18,9,,positive regulation of mitotic cell cycle phase transition,,,ISO,O94889 ,J:164563 
MGI:1337995,Klhl22,kelch-like 22,16,,mitotic sister chromatid segregation,,,ISO,Q53GT1 ,J:164563 
MGI:1337995,Klhl22,kelch-like 22,16,,mitotic spindle assembly checkpoint signaling,,,ISO,Q53GT1 ,J:164563 
MGI:1924825,Kmt2e,lysine (K)-specific methyltransferase 2E,5,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q8IZD2 ,J:164563 
MGI:1289298,Knstrn,kinetochore-localized astrin/SPAG5 binding,2,,mitotic sister chromatid segregation,,,IBA,PTN002841106 ,J:265628 
MGI:1289298,Knstrn,kinetochore-localized astrin/SPAG5 binding,2,,mitotic sister chromatid segregation,,,ISO,Q9Y448 ,J:164563 
MGI:2673709,Kntc1,kinetochore associated 1,5,,mitotic sister chromatid segregation,,,IBA,PTN001038564 ,J:265628 
MGI:2673709,Kntc1,kinetochore associated 1,5,,mitotic spindle assembly checkpoint signaling,,,IBA,PTN001038564 ,J:265628 
MGI:2673709,Kntc1,kinetochore associated 1,5,,mitotic spindle assembly checkpoint signaling,,,ISO,P50748 ,J:164563 
MGI:107532,Kpnb1,karyopherin subunit beta 1,11,,establishment of mitotic spindle localization,,,ISO,Q14974 ,J:164563 
MGI:107532,Kpnb1,karyopherin subunit beta 1,11,,mitotic chromosome movement towards spindle pole,,,ISO,Q14974 ,J:164563 
MGI:107532,Kpnb1,karyopherin subunit beta 1,11,,mitotic metaphase chromosome alignment,,,ISO,Q14974 ,J:164563 
MGI:107532,Kpnb1,karyopherin subunit beta 1,11,,mitotic spindle assembly,,,ISO,Q14974 ,J:164563 
MGI:2676663,L3mbtl1,L3MBTL1 histone methyl-lysine binding protein,2,,regulation of mitotic nuclear division,,,ISO,Q9Y468 ,J:164563 
MGI:107634,Larp7,"La ribonucleoprotein 7, transcriptional regulator",3,,positive regulation of G1/S transition of mitotic cell cycle,,,IMP,,J:191206 
MGI:1333883,Lats1,large tumor suppressor,10,,G1/S transition of mitotic cell cycle,,,IBA,PTN002390470 ,J:265628 
MGI:1333883,Lats1,large tumor suppressor,10,,G2/M transition of mitotic cell cycle,,,ISO,O95835 ,J:164563 
MGI:1354386,Lats2,large tumor suppressor 2,14,,G1/S transition of mitotic cell cycle,,,IBA,PTN002390470 ,J:265628 
MGI:1354386,Lats2,large tumor suppressor 2,14,,G1/S transition of mitotic cell cycle,,,IDA,,J:93191 
MGI:1354386,Lats2,large tumor suppressor 2,14,,G1/S transition of mitotic cell cycle,,,ISO,Q9NRM7 ,J:164563 
MGI:1353593,Lcmt1,leucine carboxyl methyltransferase 1,7,,regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,Q9UIC8 ,J:73065 
MGI:1330838,Lgmn,legumain,12,,positive regulation of mitotic cell cycle,,,ISO,Q99538 ,J:164563 
MGI:101789,Lig1,"ligase I, DNA, ATP-dependent",7,,Okazaki fragment processing involved in mitotic DNA replication,,,IBA,PTN000048794 ,J:265628 
MGI:96789,Lipa,lysosomal acid lipase A,19,,mitotic cell cycle,,,IMP,MGI:2451080 ,J:208075 
MGI:96789,Lipa,lysosomal acid lipase A,19,,mitotic cell cycle,,,IMP,MGI:2451080 ,J:224048 
MGI:96795,Lmnb1,lamin B1,18,,positive regulation of G2/M transition of mitotic cell cycle,,,NAS,,J:169987 
MGI:2151045,Lsm10,U7 snRNP-specific Sm-like protein LSM10,4,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q969L4 ,J:164563 
MGI:1919540,Lsm11,U7 snRNP-specific Sm-like protein LSM11,11,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,P83369 ,J:164563 
MGI:1914320,Lsm14a,LSM14A mRNA processing body assembly factor,7,,mitotic spindle assembly,,,ISO,Q8ND56 ,J:164563 
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,,attachment of mitotic spindle microtubules to kinetochore,,,IBA,PTN000570834 ,J:265628 
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,,deactivation of mitotic spindle assembly checkpoint,,,ISO,Q9Y6D9 ,J:164563 
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,,mitotic spindle assembly checkpoint signaling,,,IBA,PTN000570834 ,J:265628 
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,,mitotic spindle assembly checkpoint signaling,,,ISO,Q9Y6D9 ,J:164563 
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,Q9Y6D9 ,J:164563 
MGI:1341857,Mad1l1,MAD1 mitotic arrest deficient 1-like 1,5,,regulation of mitotic cell cycle phase transition,,,IDA,,J:68141 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,establishment of mitotic spindle orientation,,,ISO,Q13257 ,J:164563 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic cell cycle checkpoint signaling,,,ISO,Q13257 ,J:73065 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic sister chromatid segregation,,,IMP,MGI:2178781 ,J:62829 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic spindle assembly checkpoint signaling,,,IBA,PTN000217420 ,J:265628 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic spindle assembly checkpoint signaling,happens in fibroblast,,IMP,MGI:2178781 ,J:67456 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic spindle assembly checkpoint signaling,,,ISA,U14132 ,J:62829 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic spindle assembly checkpoint signaling,,,ISO,Q13257 ,J:164563 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,mitotic spindle assembly checkpoint signaling,,,NAS,,J:320291 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,negative regulation of mitotic cell cycle,,,ISO,Q13257 ,J:73065 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,negative regulation of mitotic metaphase/anaphase transition,,,TAS,,J:79594 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,IMP,,J:166080 
MGI:1860374,Mad2l1,MAD2 mitotic arrest deficient-like 1,6,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,Q13257 ,J:164563 
MGI:1913841,Mad2l1bp,MAD2L1 binding protein,17,,deactivation of mitotic spindle assembly checkpoint,,,ISO,Q15013 ,J:164563 
MGI:1913841,Mad2l1bp,MAD2L1 binding protein,17,,mitotic spindle assembly checkpoint signaling,,,ISO,NM_014628 ,J:86116 
MGI:1913841,Mad2l1bp,MAD2L1 binding protein,17,,mitotic spindle assembly checkpoint signaling,,,ISO,NM_014628 ,J:86166 
MGI:1913841,Mad2l1bp,MAD2L1 binding protein,17,,regulation of exit from mitosis,,,ISO,Q15013 ,J:164563 
MGI:2443304,Map1s,microtubule-associated protein 1S,8,,mitotic spindle organization,,,ISO,Q66K74 ,J:164563 
MGI:2443258,Map3k20,mitogen-activated protein kinase kinase kinase 20,2,,positive regulation of mitotic DNA damage checkpoint,,,ISO,Q9NYL2 ,J:164563 
MGI:97178,Map4,microtubule-associated protein 4,9,,mitotic spindle organization,,,IDA,,J:176970 
MGI:97178,Map4,microtubule-associated protein 4,9,,mitotic spindle organization,,,ISO,P27816 ,J:176970 
MGI:2442208,Map9,microtubule-associated protein 9,3,,mitotic cytokinesis,,,IEA,IPR026106 ,J:72247 
MGI:2442208,Map9,microtubule-associated protein 9,3,,mitotic spindle assembly,,,IBA,PTN002308204 ,J:265628 
MGI:2442208,Map9,microtubule-associated protein 9,3,,mitotic spindle assembly,,,IDA,,J:141271 
MGI:2442208,Map9,microtubule-associated protein 9,3,,mitotic spindle assembly,,,ISO,Q49MG5 ,J:164563 
MGI:2442208,Map9,microtubule-associated protein 9,3,,regulation of mitotic centrosome separation,,,ISO,Q49MG5 ,J:164563 
MGI:2442208,Map9,microtubule-associated protein 9,3,,regulation of mitotic cytokinesis,,,IBA,PTN002308204 ,J:265628 
MGI:2442208,Map9,microtubule-associated protein 9,3,,regulation of mitotic cytokinesis,,,ISO,Q49MG5 ,J:164563 
MGI:2442208,Map9,microtubule-associated protein 9,3,,regulation of mitotic spindle organization,,,ISO,Q49MG5 ,J:164563 
MGI:1921643,Map10,microtubule-associated protein 10,8,,mitotic spindle midzone assembly,,,IBA,PTN001094854 ,J:265628 
MGI:1921643,Map10,microtubule-associated protein 10,8,,mitotic spindle midzone assembly,,,ISO,Q9P2G4 ,J:164563 
MGI:891995,Mapre1,"microtubule-associated protein, RP/EB family, member 1",2,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q15691 ,J:164563 
MGI:891995,Mapre1,"microtubule-associated protein, RP/EB family, member 1",2,,establishment of mitotic spindle orientation,,,ISO,Q15691 ,J:164563 
MGI:1914371,Mastl,microtubule associated serine/threonine kinase-like,2,,G2/M transition of mitotic cell cycle,,,ISO,Q96GX5 ,J:164563 
MGI:1914371,Mastl,microtubule associated serine/threonine kinase-like,2,,mitotic cell cycle,,,ISO,Q96GX5 ,J:164563 
MGI:1333850,Mbd4,methyl-CpG binding domain protein 4,6,,mitotic G2 DNA damage checkpoint signaling,happens in fibroblast,,IMP,MGI:2684310 ,J:86981 
MGI:2679717,Mblac1,metallo-beta-lactamase domain containing 1,5,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,A4D2B0 ,J:164563 
MGI:1927235,Mbtps1,"membrane-bound transcription factor peptidase, site 1",8,,mitotic G2 DNA damage checkpoint signaling,,,IDA,,J:336734 
MGI:2444506,Mbtps2,"membrane-bound transcription factor peptidase, site 2",X,,mitotic G2 DNA damage checkpoint signaling,,,IDA,,J:336734 
MGI:3648807,Mcidas,multiciliate differentiation and DNA synthesis associated cell cycle protein,13,,regulation of mitotic cell cycle,,,ISO,D6RGH6 ,J:164563 
MGI:105380,Mcm2,minichromosome maintenance complex component 2,6,,mitotic DNA replication initiation,,,IBA,PTN000179907 ,J:265628 
MGI:101845,Mcm3,minichromosome maintenance complex component 3,1,,mitotic DNA replication initiation,,,IBA,PTN000179713 ,J:265628 
MGI:103199,Mcm4,minichromosome maintenance complex component 4,16,,mitotic DNA replication initiation,,,IBA,PTN000179968 ,J:265628 
MGI:1298227,Mcm6,minichromosome maintenance complex component 6,1,,mitotic DNA replication,,,IBA,PTN000180096 ,J:265628 
MGI:2443308,Mcph1,"microcephaly, primary autosomal recessive 1",8,,establishment of mitotic spindle orientation,"happens in neural stem cell,happens in cerebral cortex",,IMP,MGI:5308745 ,J:180706 
MGI:2443308,Mcph1,"microcephaly, primary autosomal recessive 1",8,,mitotic cell cycle,,,IBA,PTN001026970 ,J:265628 
MGI:96952,Mdm2,transformed mouse 3T3 cell double minute 2,10,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",,,ISO,Q00987 ,J:164563 
MGI:96952,Mdm2,transformed mouse 3T3 cell double minute 2,10,,positive regulation of mitotic cell cycle,,,ISO,Q00987 ,J:164563 
MGI:96952,Mdm2,transformed mouse 3T3 cell double minute 2,10,,traversing start control point of mitotic cell cycle,,,IDA,,J:83418 
MGI:99918,Mecp2,methyl CpG binding protein 2,X,,mitotic spindle organization,,,ISO,P51608 ,J:164563 
MGI:99918,Mecp2,methyl CpG binding protein 2,X,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,P51608 ,J:164563 
MGI:2686410,Meioc,meiosis specific with coiled-coil domain,11,,"germline cell cycle switching, mitotic to meiotic cell cycle",,,IMP,,J:242348 
MGI:108564,Meis2,Meis homeobox 2,2,,positive regulation of mitotic cell cycle,,,ISO,O14770 ,J:164563 
MGI:1316736,Men1,multiple endocrine neoplasia 1,19,,regulation of G1/S transition of mitotic cell cycle,happens in fibroblast,,IMP,MGI:2158697 MGI:3663673 ,J:110111 
MGI:106477,Mepce,methylphosphate capping enzyme,5,,positive regulation of G1/S transition of mitotic cell cycle,,,IMP,,J:191206 
MGI:96969,Met,met proto-oncogene,6,,positive regulation of mitotic nuclear division,,,ISO,RGD:3082 ,J:155856 
MGI:106506,Miip,migration and invasion inhibitory protein,4,,negative regulation of G2/M transition of mitotic cell cycle,,,IEA,IPR031466 ,J:72247 
MGI:2676900,Mir26a-1,microRNA 26a-1,9,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:197728 
MGI:3619045,Mir26a-2,microRNA 26a-2,10,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:197728 
MGI:2676901,Mir26b,microRNA 26b,1,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:197728 
MGI:2676807,Mir124a-1,microRNA 124a-1,14,,positive regulation of exit from mitosis,,,IDA,,J:120378 
MGI:3618700,Mir124a-2,microRNA 124a-2,3,,positive regulation of exit from mitosis,,,IDA,,J:120378 
MGI:3618704,Mir124a-3,microRNA 124a-3,2,,positive regulation of exit from mitosis,,,IDA,,J:120378 
MGI:4358947,Mir664,microRNA 664,1,,mitotic cell cycle process,,,IDA,,J:270284 
MGI:1914389,Mis12,MIS12 kinetochore complex component,11,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q9H081 ,J:164563 
MGI:1914389,Mis12,MIS12 kinetochore complex component,11,,mitotic cell cycle,,,IEA,IPR008685 ,J:72247 
MGI:1914389,Mis12,MIS12 kinetochore complex component,11,,mitotic sister chromatid segregation,,,IBA,PTN001427121 ,J:265628 
MGI:1926156,Misp,mitotic spindle positioning,10,,establishment of mitotic spindle orientation,,,ISO,Q8IVT2 ,J:164563 
MGI:1926156,Misp,mitotic spindle positioning,10,,mitotic spindle assembly,,,ISO,Q8IVT2 ,J:164563 
MGI:1916278,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",1,,midbody abscission,,,IBA,PTN000476834 ,J:265628 
MGI:1916278,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",1,,midbody abscission,,,ISO,Q8WV92 ,J:164563 
MGI:1916278,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",1,,mitotic cytokinesis,,,ISO,Q8WV92 ,J:164563 
MGI:106035,Mki67,antigen identified by monoclonal antibody Ki 67,7,,regulation of mitotic nuclear division,,,IBA,PTN001091477 ,J:265628 
MGI:106035,Mki67,antigen identified by monoclonal antibody Ki 67,7,,regulation of mitotic nuclear division,,,ISO,P46013 ,J:164563 
MGI:106207,Mnat1,menage a trois 1,12,,G1/S transition of mitotic cell cycle,,,ISO,RGD:628874 ,J:155856 
MGI:106207,Mnat1,menage a trois 1,12,,regulation of G1/S transition of mitotic cell cycle,,,ISO,P51948 ,J:164563 
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN000015644 ,J:265628 
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9,,mitotic G2 DNA damage checkpoint signaling,happens in fibroblast,,IMP,MGI:3027036 ,J:87088 
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9,,mitotic intra-S DNA damage checkpoint signaling,,,IBA,PTN000015646 ,J:265628 
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9,,mitotic intra-S DNA damage checkpoint signaling,happens in fibroblast,,IMP,MGI:3027036 ,J:138550 
MGI:1100512,Mre11a,"MRE11A homolog A, double strand break repair nuclease",9,,mitotic intra-S DNA damage checkpoint signaling,happens in fibroblast,,IMP,MGI:3027036 ,J:87088 
MGI:1915317,Mrnip,MRN complex interacting protein,11,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN001439267 ,J:265628 
MGI:1915317,Mrnip,MRN complex interacting protein,11,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q6NTE8 ,J:164563 
MGI:101816,Msh2,mutS homolog 2,17,,mitotic intra-S DNA damage checkpoint signaling,"happens in keratinocyte,happens in epidermis",,IGI,MGI:103557 ,J:94447 
MGI:2151172,Mta3,metastasis associated 3,17,,G2/M transition of mitotic cell cycle,"happens in granulosa cell,happens in ovary",,IMP,,J:185774 
MGI:2151172,Mta3,metastasis associated 3,17,,positive regulation of G2/M transition of mitotic cell cycle,positively regulates G2/M transition of mitotic cell cycle,,IMP,,J:185774 
MGI:2146005,Mtbp,"Mdm2, transformed 3T3 cell double minute p53 binding protein",15,,mitotic spindle checkpoint signaling,,,ISO,Q96DY7 ,J:73065 
MGI:2146005,Mtbp,"Mdm2, transformed 3T3 cell double minute p53 binding protein",15,,negative regulation of mitotic nuclear division,,,IDA,,J:203107 
MGI:2146005,Mtbp,"Mdm2, transformed 3T3 cell double minute p53 binding protein",15,,traversing start control point of mitotic cell cycle,,,IBA,PTN001425704 ,J:265628 
MGI:2146005,Mtbp,"Mdm2, transformed 3T3 cell double minute p53 binding protein",15,,traversing start control point of mitotic cell cycle,,,IDA,,J:83418 
MGI:97231,Muc1,"mucin 1, transmembrane",3,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",,,ISO,P15941 ,J:164563 
MGI:1918961,Mus81,MUS81 structure-specific endonuclease subunit,19,,mitotic intra-S DNA damage checkpoint signaling,,,IBA,PTN000335543 ,J:265628 
MGI:97249,Myb,myeloblastosis oncogene,10,,G1/S transition of mitotic cell cycle,,,IMP,,J:84257 
MGI:97249,Myb,myeloblastosis oncogene,10,,mitotic cell cycle,,,IBA,PTN000067791 ,J:265628 
MGI:99925,Mybl1,myeloblastosis oncogene-like 1,1,,mitotic cell cycle,,,IBA,PTN000067791 ,J:265628 
MGI:101785,Mybl2,myeloblastosis oncogene-like 2,2,,mitotic cell cycle,,,IBA,PTN000067791 ,J:265628 
MGI:101785,Mybl2,myeloblastosis oncogene-like 2,2,,mitotic spindle assembly,,,IDA,,J:137631 
MGI:97250,Myc,myelocytomatosis oncogene,15,,G1/S transition of mitotic cell cycle,,,ISO,P01106 ,J:164563 
MGI:97250,Myc,myelocytomatosis oncogene,15,,regulation of mitotic cell cycle,,,ISO,RGD:3130 ,J:155856 
MGI:1930780,Myh10,"myosin, heavy polypeptide 10, non-muscle",11,,mitotic cytokinesis,,,IBA,PTN002897265 ,J:265628 
MGI:1930780,Myh10,"myosin, heavy polypeptide 10, non-muscle",11,,mitotic cytokinesis,"happens in cardiac muscle cell,happens in left ventricle cardiac muscle",,IMP,MGI:2386445 ,J:92230 
MGI:1930780,Myh10,"myosin, heavy polypeptide 10, non-muscle",11,,mitotic cytokinesis,"happens in cardiac muscle cell,happens in left ventricle cardiac muscle",,IMP,MGI:3052104 ,J:92230 
MGI:1930780,Myh10,"myosin, heavy polypeptide 10, non-muscle",11,,mitotic cytokinesis,,,ISO,P35580 ,J:73065 
MGI:2685951,Myo16,myosin XVI,8,,negative regulation of G1/S transition of mitotic cell cycle,,,IBA,PTN002933625 ,J:265628 
MGI:2685951,Myo16,myosin XVI,8,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:621561 ,J:155856 
MGI:1924039,Mzt1,mitotic spindle organizing protein 1,14,,mitotic spindle assembly,,,IBA,PTN002003414 ,J:265628 
MGI:1919367,Naa50,"N(alpha)-acetyltransferase 50, NatE catalytic subunit",16,,establishment of mitotic sister chromatid cohesion,,,ISO,Q9GZZ1 ,J:164563 
MGI:1923258,Nabp1,nucleic acid binding protein 1,1,,mitotic cell cycle checkpoint signaling,,,IBA,PTN000331760 ,J:265628 
MGI:1923258,Nabp1,nucleic acid binding protein 1,1,,mitotic G2/M transition checkpoint,,,ISO,Q96AH0 ,J:164563 
MGI:1917167,Nabp2,nucleic acid binding protein 2,10,,mitotic cell cycle checkpoint signaling,,,IBA,PTN000331760 ,J:265628 
MGI:1917167,Nabp2,nucleic acid binding protein 2,10,,mitotic G2/M transition checkpoint,,,ISO,Q9BQ15 ,J:164563 
MGI:1915241,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing",2,,negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter,,,IBA,PTN008703924 ,J:265628 
MGI:1915241,Nacc2,"nucleus accumbens associated 2, BEN and BTB (POZ) domain containing",2,,negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter,,,ISO,Q96BF6 ,J:164563 
MGI:2384561,Nae1,NEDD8 activating enzyme E1 subunit 1,8,,mitotic DNA replication checkpoint signaling,,,ISO,Q13564 ,J:164563 
MGI:1919200,Nanog,Nanog homeobox,6,,positive regulation of mitotic cell cycle,,,IDA,,J:102832 
MGI:1355328,Nasp,nuclear autoantigenic sperm protein (histone-binding),4,,G1/S transition of mitotic cell cycle,,,IDA,,J:116454 
MGI:1351625,Nbn,nibrin,4,,mitotic cell cycle checkpoint signaling,,,IEA,IPR016592 ,J:72247 
MGI:1351625,Nbn,nibrin,4,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN000255549 ,J:265628 
MGI:1351625,Nbn,nibrin,4,,mitotic G2 DNA damage checkpoint signaling,happens in fibroblast,,IMP,MGI:2183796 ,J:138550 
MGI:1351625,Nbn,nibrin,4,,mitotic G2 DNA damage checkpoint signaling,,,ISO,O60934 ,J:164563 
MGI:1351625,Nbn,nibrin,4,,mitotic G2/M transition checkpoint,,,NAS,,J:320080 
MGI:1915548,Ncapd2,"non-SMC condensin I complex, subunit D2",6,,mitotic cell cycle,,,IEA,IPR007673 ,J:72247 
MGI:1915548,Ncapd2,"non-SMC condensin I complex, subunit D2",6,,mitotic chromosome condensation,,,IBA,PTN000368592 ,J:265628 
MGI:1915548,Ncapd2,"non-SMC condensin I complex, subunit D2",6,,mitotic chromosome condensation,,,ISO,Q15021 ,J:164563 
MGI:2142989,Ncapd3,"non-SMC condensin II complex, subunit D3",9,,mitotic chromosome condensation,,,IBA,PTN000368592 ,J:265628 
MGI:2142989,Ncapd3,"non-SMC condensin II complex, subunit D3",9,,mitotic chromosome condensation,,,ISO,P42695 ,J:164563 
MGI:1930197,Ncapg,"non-SMC condensin I complex, subunit G",5,,mitotic chromosome condensation,,,IBA,PTN000373918 ,J:265628 
MGI:1930197,Ncapg,"non-SMC condensin I complex, subunit G",5,,mitotic chromosome condensation,,,ISO,Q9BPX3 ,J:164563 
MGI:1923294,Ncapg2,"non-SMC condensin II complex, subunit G2",12,,mitotic sister chromatid segregation,,,IBA,PTN000795052 ,J:265628 
MGI:2444777,Ncaph,"non-SMC condensin I complex, subunit H",2,,mitotic chromosome condensation,,,IBA,PTN000318716 ,J:265628 
MGI:2444777,Ncaph,"non-SMC condensin I complex, subunit H",2,,mitotic chromosome condensation,,,ISO,Q15003 ,J:164563 
MGI:1289164,Ncaph2,"non-SMC condensin II complex, subunit H2",15,,mitotic chromosome condensation,,,IMP,,J:242515 
MGI:1289164,Ncaph2,"non-SMC condensin II complex, subunit H2",15,,mitotic sister chromatid separation,,,IBA,PTN001285342 ,J:265628 
MGI:1289164,Ncaph2,"non-SMC condensin II complex, subunit H2",15,,mitotic sister chromatid separation,"happens in double-positive, alpha-beta thymocyte",,IMP,,J:236233 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,attachment of mitotic spindle microtubules to kinetochore,,,IBA,PTN000068311 ,J:265628 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,O14777 ,J:164563 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,establishment of mitotic spindle orientation,,,ISO,O14777 ,J:164563 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,mitotic cell cycle checkpoint signaling,,,IMP,,J:144648 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,mitotic sister chromatid segregation,,,ISO,AF017790 ,J:73065 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,mitotic spindle assembly checkpoint signaling,,,NAS,,J:320157 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,mitotic spindle organization,,,ISO,O14777 ,J:164563 
MGI:1914302,Ndc80,NDC80 kinetochore complex component,17,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,O14777 ,J:164563 
MGI:1914453,Nde1,nudE neurodevelopment protein 1,16,,establishment of mitotic spindle orientation,,,IBA,PTN000100519 ,J:265628 
MGI:1914453,Nde1,nudE neurodevelopment protein 1,16,,establishment of mitotic spindle orientation,,,ISO,Q9NXR1 ,J:164563 
MGI:1914453,Nde1,nudE neurodevelopment protein 1,16,,mitotic centrosome separation,,,IBA,PTN000100519 ,J:265628 
MGI:1932915,Ndel1,nudE neurodevelopment protein 1 like 1,11,,establishment of mitotic spindle orientation,,,IBA,PTN000100519 ,J:265628 
MGI:1932915,Ndel1,nudE neurodevelopment protein 1 like 1,11,,mitotic centrosome separation,,,IBA,PTN000100519 ,J:265628 
MGI:1932915,Ndel1,nudE neurodevelopment protein 1 like 1,11,,mitotic centrosome separation,,,IGI,MGI:894678 ,J:117672 
MGI:1932915,Ndel1,nudE neurodevelopment protein 1 like 1,11,,mitotic centrosome separation,happens in fibroblast,,IMP,,J:117672 
MGI:102570,Ndp,Norrie disease (pseudoglioma) (human),X,,mitotic cell cycle,,,IMP,MGI:2676199 ,J:184472 
MGI:97293,Nedd1,"neural precursor cell expressed, developmentally down-regulated gene 1",10,,mitotic cell cycle,,,IBA,PTN001871829 ,J:265628 
MGI:109359,Nek2,NIMA (never in mitosis gene a)-related expressed kinase 2,1,,mitotic sister chromatid segregation,"happens in early embryonic cell (metazoa),happens in 1-cell stage embryo",,IMP,,J:93521 
MGI:109359,Nek2,NIMA (never in mitosis gene a)-related expressed kinase 2,1,,mitotic spindle assembly,happens in blastoderm cell,,IMP,,J:149267 
MGI:109359,Nek2,NIMA (never in mitosis gene a)-related expressed kinase 2,1,,regulation of mitotic centrosome separation,,,ISO,P51955 ,J:164563 
MGI:1344404,Nek4,NIMA (never in mitosis gene a)-related expressed kinase 4,14,,mitotic cell cycle,,,ISO,P51957 ,J:164563 
MGI:1891638,Nek6,NIMA (never in mitosis gene a)-related expressed kinase 6,2,,regulation of mitotic metaphase/anaphase transition,,,ISO,Q9HC98 ,J:164563 
MGI:1890645,Nek7,NIMA (never in mitosis gene a)-related expressed kinase 7,1,,regulation of mitotic cell cycle,,,ISO,Q8TDX7 ,J:164563 
MGI:2387995,Nek9,NIMA (never in mitosis gene a)-related expressed kinase 9,12,,mitotic cell cycle,,,ISO,Q8TD19 ,J:164563 
MGI:2387995,Nek9,NIMA (never in mitosis gene a)-related expressed kinase 9,12,,regulation of mitotic cell cycle,,,ISO,Q8TD19 ,J:164563 
MGI:2442276,Nek11,NIMA (never in mitosis gene a)-related expressed kinase 11,9,,mitotic intra-S DNA damage checkpoint signaling,,,IBA,PTN002462873 ,J:265628 
MGI:2442276,Nek11,NIMA (never in mitosis gene a)-related expressed kinase 11,9,,mitotic intra-S DNA damage checkpoint signaling,,,ISO,Q8NG66 ,J:164563 
MGI:2442276,Nek11,NIMA (never in mitosis gene a)-related expressed kinase 11,9,,regulation of mitotic cell cycle phase transition,,,IBA,PTN002462873 ,J:265628 
